"","Genre","Title","Artist","URI","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"12","country","Take Back Home Girl","Chris Lane Featuring Tori Kelly","0N9uZRrJQ3lO5TmInEjLxc",0.493,0.796,11,-3.971,0.0691,0.39,0,0.0957,0.644,159.988,4
"13","country","Drowns The Whiskey","Jason Aldean Featuring Miranda Lambert","2dwoqUYTy6SOy1dFqcTndC",0.552,0.698,8,-4.817,0.0306,0.294,0.000103,0.0905,0.6,90.006,4
"14","country","Break Up In The End","Cole Swindell","5Z19ylxppfnfdP4JH0u8oj",0.507,0.372,1,-8.433,0.0303,0.481,0,0.271,0.257,86.422,4
"15","country","Broken Halos","Chris Stapleton","06gD2ZtK3Dzc1BYqWExQJJ",0.613,0.564,8,-7.085,0.0251,0.134,1.65e-06,0.0585,0.538,78.388,4
"16","country","Sunrise, Sunburn, Sunset","Luke Bryan","53yTYusPQJ1AApL1hi0Dnc",0.471,0.897,9,-2.27,0.0597,0.193,0,0.196,0.719,159.958,4
"17","country","Hooked","Dylan Scott","3DV49ruvI5Sl6iisPZAc2c",0.597,0.721,9,-6.422,0.0356,0.0362,0,0.0832,0.437,132.054,4
"18","country","Drunk Girl","Chris Janson","1kFBLqkTuNKlspkJ1EOGjN",0.485,0.306,0,-8.431,0.0409,0.794,0,0.122,0.224,203.729,4
"19","country","Singles You Up","Jordan Davis","4LiMQ6G9n84rDUBs9wtwz6",0.491,0.907,7,-3.594,0.0481,0.0491,0,0.242,0.631,199.943,4
"20","country","Hotel Key","Old Dominion","33471tzU1VghDg9zNgGRpz",0.758,0.867,11,-5.087,0.0475,0.152,0,0.308,0.964,102.018,4
"21","country","Lose It","Kane Brown","7epGknfpAlH1u33S71Ur1o",0.544,0.854,4,-4.968,0.0289,0.00245,1.2e-06,0.249,0.436,91.966,4
"22","country","Five More Minutes","Scotty McCreery","1eFrhAmzoQnTlwvnqvLt7D",0.496,0.632,7,-4.933,0.0282,0.257,1.07e-06,0.109,0.278,156.034,4
"23","country","She Got The Best Of Me","Luke Combs","698eQRku24PIYPQPHItKlA",0.533,0.907,11,-3.793,0.0406,0.0292,0,0.386,0.7,150.99,4
"24","country","I Was Jack (You Were Diane)","Jake Owen","3dlCF1mzW1UKMOb4b1XN17",0.603,0.866,6,-3.541,0.0443,0.0819,0,0.0521,0.543,94.057,4
"25","country","Life Changes","Thomas Rhett","4Vxu50qVrQcycjRyJQaZLC",0.687,0.845,7,-4.37,0.0576,0.1,0,0.0452,0.809,87.972,4
"26","country","Beautiful Crazy","Luke Combs","2rxQMGVafnNaRaXlRMWPde",0.552,0.402,11,-7.431,0.0262,0.676,0,0.0928,0.382,103.313,4
"27","country","I Lived It","Blake Shelton","5slddJ629YcePvqD6Uyk8r",0.557,0.571,10,-8.106,0.0281,0.476,0.00114,0.101,0.392,80.981,4
"28","country","Woman, Amen","Dierks Bentley","3nBXOlFTADNvG9nkqy2O2W",0.484,0.804,5,-5.889,0.0912,0.000837,9.29e-06,0.17,0.391,119.838,4
"29","country","All On Me","Devin Dawson","2mfahQ0EaaZWq4cFNg6A1o",0.634,0.668,5,-5.488,0.0291,0.14,0,0.216,0.635,80.989,4
"30","country","Blue Tacoma","Russell Dickerson","2oPCR02nduYVpj7CTfsA0d",0.455,0.897,9,-4.879,0.0403,0.0183,0,0.174,0.728,160.139,4
"31","country","Yours","Russell Dickerson","6RSNKGdv3nDTHqgw4bdzyF",0.555,0.722,11,-6.005,0.034,0.119,0,0.0861,0.559,134.058,4
"32","country","Speechless","Dan + Shay","3GJ4hzg4lrGwU51Y3VARbF",0.616,0.438,1,-5.968,0.0298,0.356,0,0.24,0.386,135.929,4
"33","country","Hangin' On","Chris Young","6CyJlVAEFlNdpggOLanytL",0.434,0.831,8,-4.774,0.0453,0.0651,0,0.119,0.596,156.034,4
"34","country","The Long Way","Brett Eldredge","5vuMtXS5kQ7F0o9V9rG1dG",0.488,0.637,10,-7.63,0.0401,0.265,0,0.106,0.23,88.865,4
"35","country","Babe","Sugarland Featuring Taylor Swift","0SoK5u8MD2VVikNPwXBz74",0.535,0.777,4,-3.292,0.207,0.0187,1.62e-06,0.136,0.664,171.72,4
"36","country","Written In The Sand","Old Dominion","2A69wys3S9uiPSmn6UZWJn",0.725,0.437,6,-9.602,0.0575,0.593,0,0.0842,0.759,83.985,4
"37","country","What Ifs","Kane Brown Featuring Lauren Alaina","7zVCrzzEJU7u24sbJPXA5W",0.612,0.799,10,-4.603,0.0275,0.00898,0,0.172,0.687,125.976,4
"38","country","Everything's Gonna Be Alright","David Lee Murphy & Kenny Chesney","2NEBP8SXEqwZt2PRdPXXuy",0.764,0.587,5,-7.002,0.0298,0.0721,6.45e-06,0.094,0.494,89.98,4
"39","country","Cry Pretty","Carrie Underwood","7qXPZxXn6Xmv1sjh03skiW",0.614,0.884,0,-4.019,0.0402,0.00122,0,0.077,0.721,100.531,4
"40","country","For The First Time","Darius Rucker","0LG2cFomCi8Fb664Lvr3Nu",0.515,0.806,6,-5.263,0.0417,0.00798,0,0.0337,0.708,142.16,4
"41","country","Greatest Love Story","LANCO","2yQZwi1P8AkkxxFhQ8rMEK",0.671,0.617,10,-8.72,0.0561,0.401,0,0.119,0.62,147.986,4
"42","country","Kiss Somebody","Morgan Evans","4f3fb3alVLFc8Ga4ncpg7x",0.57,0.684,6,-7.054,0.0465,0.136,0,0.205,0.531,89.012,4
"43","country","Best Shot","Jimmie Allen","3VamXAvVMczcS2PTYtPfBQ",0.629,0.464,4,-8.72,0.0334,0.75,0,0.0853,0.523,156.051,4
"44","country","Rich","Maren Morris","4H0vNUFcHPz5lytcLjwqkr",0.565,0.855,5,-4.189,0.0557,0.0445,0,0.32,0.852,74.98,4
"45","country","Coming Home","Keith Urban Featuring Julia Michaels","4pWb8UZ6IPVJA3CPjCNgzq",0.383,0.703,4,-6.988,0.228,0.216,5.47e-06,0.131,0.57,88.502,4
"46","country","Body Like A Back Road","Sam Hunt","7mldq42yDuxiUNn08nvzHO",0.732,0.458,5,-7.225,0.0311,0.447,0,0.136,0.661,98.938,4
"47","country","I'll Name The Dogs","Blake Shelton","609qKv3KPAbdtp0LQH2buA",0.348,0.87,4,-5.86,0.137,0.171,4.4e-06,0.202,0.763,83.392,4
"48","country","You Broke Up With Me","Walker Hayes","6UsoV6X96Rox9mfxoz7SFy",0.846,0.711,0,-7.939,0.061,0.496,0,0.247,0.883,120.013,4
"49","country","Born To Love You","LANCO","77a5Eu7lC3tG0Sukt2O91U",0.659,0.902,7,-6.192,0.0296,0.13,9.45e-05,0.0574,0.809,124.985,4
"50","country","Drunk Me","Mitchell Tenpenny","1G4cdOtF36ZCs6i2dZoC87",0.499,0.797,2,-3.77,0.0554,0.199,0,0.0933,0.408,176.024,4
"51","country","Like I Loved You","Brett Young","3T6MAweakkNrMYs8jZIWtg",0.582,0.568,1,-6.051,0.0297,0.196,0,0.0841,0.64,76.025,4
"52","country","Desperate Man","Eric Church","3d1qN7AHge6BXuVPutcpI5",0.56,0.736,0,-7.306,0.0446,0.341,9.81e-06,0.155,0.824,79.843,4
"53","country","She's With Me","High Valley","2p2cCrOaNrIOLk5ArtlHy6",0.599,0.931,11,-3.662,0.0517,0.0285,0,0.102,0.788,111.012,4
"54","country","Losing Sleep","Chris Young","6waqLPcT6ruMhmd36OhmFO",0.584,0.621,1,-5.703,0.0443,0.0715,1.68e-06,0.389,0.634,92.003,4
"55","country","Heart Break","Lady Antebellum","3YZ5TNGA10oTLaADq4zuNV",0.549,0.883,7,-5.525,0.0346,0.0423,1.31e-05,0.323,0.668,83.994,4
"56","country","Female","Keith Urban","1t34UsQ634a233qysq6D6L",0.567,0.477,8,-8.781,0.0331,0.186,4.86e-05,0.111,0.321,85.019,5
"57","country","Millionaire","Chris Stapleton","68JS5SFTnW5Yv9Vzw81Jf0",0.616,0.474,10,-9.608,0.0266,0.192,0.00762,0.0989,0.493,142.689,4
"58","country","Unforgettable","Thomas Rhett","30MM5jWpUmOxtTNd9Ey5LZ",0.661,0.75,7,-5.497,0.0314,0.0303,0.000132,0.0849,0.828,130.077,4
"59","country","Get To You","Michael Ray","3T6zcLTbdh4E3cQIpOtBps",0.481,0.562,3,-5.661,0.0321,0.348,0.000432,0.106,0.212,167.964,4
"60","country","Hide The Wine","Carly Pearce","6DY8aOcWyDYgg4ZyZKzC4B",0.567,0.913,5,-4.264,0.145,0.0621,0,0.0866,0.605,77.287,4
"61","country","Legends","Kelsea Ballerini","6vlxmQGwmlyp07YjkugV6K",0.577,0.727,4,-5.848,0.0319,0.0547,0,0.0891,0.24,112.041,4
"62","country","Round Here Buzz","Eric Church","52ioLaTnO2J7BWY8UN2n9D",0.638,0.441,2,-9.064,0.0347,0.0422,1.33e-05,0.107,0.473,76.078,4
"63","country","Light It Up","Luke Bryan","5w3NgfV8v1nNZFLUBlGHIL",0.608,0.928,6,-2.724,0.0883,0.133,0,0.103,0.738,130.012,4
"64","country","When It Rains It Pours","Luke Combs","1mMLMZYXkMueg65jRRWG1l",0.551,0.801,6,-5.069,0.0303,0.013,6.03e-06,0.265,0.625,128.027,4
"65","country","Burning Man","Dierks Bentley Featuring Brothers Osborne","4a1oIihVt6xSnDRpgX387M",0.609,0.807,5,-7.221,0.0972,0.00403,5.42e-06,0.0926,0.492,119.073,4
"66","country","Happens Like That","Granger Smith","11fWR3u9wjDMW4oVDbUbyT",0.557,0.807,7,-5.428,0.0825,0.189,0,0.234,0.578,81.045,4
"67","country","Last Shot","Kip Moore","6viHvc13l9A6Ua6xugpeX6",0.487,0.859,4,-4.403,0.0488,0.00204,0,0.322,0.377,148.037,4
"68","country","I Could Use A Love Song","Maren Morris","09iyGiljLWRYXdRazFkdtJ",0.638,0.634,6,-6.474,0.0468,0.214,0,0.0866,0.473,92.097,4
"69","country","Kinda Don't Care","Justin Moore","5XQv5uep3VmhEuDWeFwRep",0.584,0.752,1,-5.674,0.0309,0.0974,3.05e-05,0.0544,0.735,150.046,4
"70","country","Downtown's Dead","Sam Hunt","5eFfsbjSouG8qOpg9ZqDl6",0.624,0.696,11,-6.006,0.0469,0.109,0,0.132,0.392,82.001,4
"71","country","I Hate Love Songs","Kelsea Ballerini","0Sbeihd75SGitymHS8Bqbh",0.386,0.446,11,-7.807,0.0297,0.252,0,0.18,0.4,179.995,3
"72","country","A Girl Like You","Easton Corbin","3AsNVBJ7LHsltdu9490ZiS",0.735,0.768,5,-4.481,0.0353,0.0197,0,0.0643,0.83,104.991,4
"73","country","Shoot Me Straight","Brothers Osborne","5T3i5WkfjgJQpl8IANqjXZ",0.417,0.685,2,-6.805,0.0584,0.00389,0.00855,0.103,0.224,98.718,4
"74","country","She Ain't In It","Jon Pardi","1Be8liECvEP5NYZjYvukbI",0.395,0.674,5,-4.626,0.028,0.127,3.37e-05,0.332,0.585,185.647,4
"75","country","Criminal","Lindsay Ell","4dV6BP3spzbAMWlsb2adGG",0.509,0.876,4,-2.852,0.0525,0.0932,6.51e-06,0.119,0.717,77.491,4
"76","country","Ones That Like Me","Brantley Gilbert","3I74lFPU8RE17EIfYz351J",0.437,0.834,6,-3.807,0.0404,0.0329,1.03e-06,0.383,0.436,154.053,4
"77","country","Burn Out","Midland","7yrJnekdlwWARt5lmVqJ6L",0.671,0.724,7,-5.61,0.0244,0.292,0,0.231,0.801,99.976,4
"78","country","Good Girl","Dustin Lynch","5HnXcJJbNXQQ7tRlQ9VN1v",0.711,0.696,7,-5.05,0.0871,0.16,0,0.17,0.694,80.512,4
"79","country","The Rest Of Our Life","Tim McGraw & Faith Hill","19P6cJstaoQJHtHW3HOGcg",0.617,0.468,2,-6.908,0.0291,0.65,0,0.141,0.333,119.921,3
"80","country","Take It From Me","Jordan Davis","3dCZm5HrG0jIXAHfNkg2H0",0.592,0.891,10,-3.144,0.0512,0.0267,0,0.352,0.674,99.983,4
"81","country","Must've Never Met You","Luke Combs","6ojicjDYUUoeE1tdSvfFo4",0.455,0.892,6,-3.218,0.0566,0.00951,0,0.143,0.641,75.218,4
"82","country","Three Chords & The Truth","Chase Rice","4ruSkRHMQKBPtYAYpMf0oR",0.44,0.889,8,-4.723,0.0462,0.0275,0,0.143,0.409,166.074,4
"83","country","Make A Little","Midland","7nDLdzyh2IDjL77JBmZTiQ",0.566,0.874,4,-5.164,0.0566,0.124,0,0.379,0.827,152.039,4
"84","country","Turnin' Me On","Blake Shelton","02Df1JGm5Sjh2GmRAl5ClR",0.628,0.708,11,-7.045,0.0287,0.309,1.32e-06,0.109,0.276,111.047,4
"85","country","This Is It","Scotty McCreery","34DFpyq5NJJ79GnGbbJH3p",0.557,0.511,8,-6.788,0.0291,0.254,0,0.099,0.602,156.042,4
"86","country","Houston, We Got A Problem","Luke Combs","6guWjUuNYziyNXgjFo1IpF",0.522,0.762,9,-5.059,0.0362,0.0961,6.21e-06,0.395,0.486,143.868,4
"87","country","I'd Be Jealous Too","Dustin Lynch","7rdK9NSJIRBZAiXC0vuBS9",0.716,0.718,0,-5.355,0.0293,0.0896,0,0.473,0.537,100.934,4
"88","country","Down To The Honkytonk","Jake Owen","5g0XcG0apQTlO3X8r38vGf",0.634,0.808,3,-4.12,0.0516,0.19,0,0.0898,0.937,82.021,4
"89","country","Famous","Mason Ramsey","1lasE4yXQmZ5mwWdGQGn8E",0.534,0.815,5,-2.815,0.0278,0.708,0,0.111,0.564,159.848,4
"90","country","Outta Style","Aaron Watson","0b1Xx3vUapY6ZOqbPMcpDq",0.617,0.886,2,-4.352,0.0425,0.0883,1.35e-05,0.0856,0.873,124.979,4
"91","country","A Little Dive Bar In Dahlonega","Ashley McBryde","7qcRDEpmDWS0bLHaZRYE8c",0.639,0.479,1,-6.192,0.0447,0.426,0,0.151,0.571,146.084,4
"92","country","David Ashley Parker From Powder Springs","Travis Denning","4fhKaRCxbWXA3BwAr3Zxjx",0.555,0.895,5,-4.787,0.0472,0.131,0,0.0922,0.38,138.076,4
"93","country","Doin' Fine","Lauren Alaina","6nqvInlnaMzEzaw4s0zbee",0.439,0.752,8,-4.143,0.0375,0.116,0,0.133,0.456,166.051,4
"94","country","The Difference","Tyler Rich","7FV6v9Oc2iLlHeRhQ9jynX",0.538,0.755,9,-5.22,0.0532,0.097,0,0.11,0.697,169.811,4
"95","country","On My Way To You","Cody Johnson","3OjNkFFZavF89xvRqWCXmU",0.443,0.538,1,-5.477,0.0309,0.327,4.61e-05,0.0866,0.245,157.97,4
"96","country","Love Wins","Carrie Underwood","4XWnHzCRfRjaHRsTNeh3WR",0.523,0.865,7,-4.697,0.0989,0.0112,0,0.153,0.325,135.115,4
"97","country","Girl Like You","Jason Aldean","7K0lR5Ngf5jkOWt1g6ut6l",0.543,0.88,3,-4.204,0.0365,0.035,0.000227,0.304,0.483,144.057,4
"98","country","Caught Up In The Country","Rodney Atkins Featuring The Fisk Jubilee Singers","2BgunkkepMPFpArQj1Dx5s",0.603,0.852,7,-5.166,0.0463,0.0137,0,0.513,0.655,124.091,4
"99","country","Meant To Be","Bebe Rexha & Florida Georgia Line","7iDa6hUg2VgEL1o1HjmfBn",0.643,0.783,10,-6.458,0.0856,0.047,0,0.083,0.579,154.084,4
"100","country","Heaven","Kane Brown","1HXy5I3HTWq8OvxCn0z7G7",0.677,0.556,9,-6.544,0.0306,0.263,0,0.105,0.521,80.009,4
"101","country","Tequila","Dan + Shay","42fw0rxRO2xbesF6mJfd4Y",0.489,0.581,11,-5.731,0.0281,0.0312,0,0.132,0.494,86.016,4
"102","country","You Make It Easy","Jason Aldean","2ZxTjs4EdJl4Y9YByIiNoo",0.375,0.574,7,-5.305,0.0315,0.143,0,0.11,0.406,132.025,3
"103","country","Marry Me","Thomas Rhett","0OWZFobGSIW9GrSlQ9C5pc",0.333,0.412,3,-8.633,0.029,0.0977,0,0.113,0.474,85.028,4
"104","country","One Number Away","Luke Combs","4gB7HrYHbJVJ5RFOjxmoq4",0.544,0.781,6,-6.16,0.0311,0.00585,0,0.191,0.527,144.075,4
"105","country","Simple","Florida Georgia Line","4L9Ds4mpD3SuYoWwFUlv16",0.362,0.882,3,-3.717,0.0973,0.0791,0,0.15,0.864,199.811,4
"106","country","Get Along","Kenny Chesney","6n6OQfBpCgzF9oEg8zhBN7",0.632,0.804,7,-6.109,0.0503,0.101,0,0.17,0.35,92.456,4
"107","country","Mercy","Brett Young","2VIPU72L6tIR4w8J8ap6Kp",0.638,0.367,4,-7.906,0.0266,0.84,0,0.0999,0.219,71.957,4
"108","country","Up Down","Morgan Wallen Featuring Florida Georgia Line","3EWMoDIm6lzuR0zQKtuCJX",0.589,0.882,6,-3.039,0.035,0.0813,0,0.146,0.793,129.915,4
"109","country","Most People Are Good","Luke Bryan","79LAFAkR1ATb4iIQvZuCL0",0.586,0.732,8,-6.171,0.0279,0.176,0,0.148,0.582,150.109,4
"110","country","Take Back Home Girl","Chris Lane Featuring Tori Kelly","0N9uZRrJQ3lO5TmInEjLxc",0.493,0.796,11,-3.971,0.0691,0.39,0,0.0957,0.644,159.988,4
"111","country","Drowns The Whiskey","Jason Aldean Featuring Miranda Lambert","2dwoqUYTy6SOy1dFqcTndC",0.552,0.698,8,-4.817,0.0306,0.294,0.000103,0.0905,0.6,90.006,4
"112","country","Break Up In The End","Cole Swindell","5Z19ylxppfnfdP4JH0u8oj",0.507,0.372,1,-8.433,0.0303,0.481,0,0.271,0.257,86.422,4
"113","country","Broken Halos","Chris Stapleton","06gD2ZtK3Dzc1BYqWExQJJ",0.613,0.564,8,-7.085,0.0251,0.134,1.65e-06,0.0585,0.538,78.388,4
"114","country","Sunrise, Sunburn, Sunset","Luke Bryan","53yTYusPQJ1AApL1hi0Dnc",0.471,0.897,9,-2.27,0.0597,0.193,0,0.196,0.719,159.958,4
"115","country","Hooked","Dylan Scott","3DV49ruvI5Sl6iisPZAc2c",0.597,0.721,9,-6.422,0.0356,0.0362,0,0.0832,0.437,132.054,4
"116","country","Drunk Girl","Chris Janson","1kFBLqkTuNKlspkJ1EOGjN",0.485,0.306,0,-8.431,0.0409,0.794,0,0.122,0.224,203.729,4
"117","country","Singles You Up","Jordan Davis","4LiMQ6G9n84rDUBs9wtwz6",0.491,0.907,7,-3.594,0.0481,0.0491,0,0.242,0.631,199.943,4
"118","country","Hotel Key","Old Dominion","33471tzU1VghDg9zNgGRpz",0.758,0.867,11,-5.087,0.0475,0.152,0,0.308,0.964,102.018,4
"119","country","Lose It","Kane Brown","7epGknfpAlH1u33S71Ur1o",0.544,0.854,4,-4.968,0.0289,0.00245,1.2e-06,0.249,0.436,91.966,4
"120","country","Five More Minutes","Scotty McCreery","1eFrhAmzoQnTlwvnqvLt7D",0.496,0.632,7,-4.933,0.0282,0.257,1.07e-06,0.109,0.278,156.034,4
"121","country","She Got The Best Of Me","Luke Combs","698eQRku24PIYPQPHItKlA",0.533,0.907,11,-3.793,0.0406,0.0292,0,0.386,0.7,150.99,4
"122","country","I Was Jack (You Were Diane)","Jake Owen","3dlCF1mzW1UKMOb4b1XN17",0.603,0.866,6,-3.541,0.0443,0.0819,0,0.0521,0.543,94.057,4
"123","country","Life Changes","Thomas Rhett","4Vxu50qVrQcycjRyJQaZLC",0.687,0.845,7,-4.37,0.0576,0.1,0,0.0452,0.809,87.972,4
"124","country","Beautiful Crazy","Luke Combs","2rxQMGVafnNaRaXlRMWPde",0.552,0.402,11,-7.431,0.0262,0.676,0,0.0928,0.382,103.313,4
"125","country","I Lived It","Blake Shelton","5slddJ629YcePvqD6Uyk8r",0.557,0.571,10,-8.106,0.0281,0.476,0.00114,0.101,0.392,80.981,4
"126","country","Woman, Amen","Dierks Bentley","3nBXOlFTADNvG9nkqy2O2W",0.484,0.804,5,-5.889,0.0912,0.000837,9.29e-06,0.17,0.391,119.838,4
"127","country","All On Me","Devin Dawson","2mfahQ0EaaZWq4cFNg6A1o",0.634,0.668,5,-5.488,0.0291,0.14,0,0.216,0.635,80.989,4
"128","country","Blue Tacoma","Russell Dickerson","2oPCR02nduYVpj7CTfsA0d",0.455,0.897,9,-4.879,0.0403,0.0183,0,0.174,0.728,160.139,4
"129","country","Yours","Russell Dickerson","6RSNKGdv3nDTHqgw4bdzyF",0.555,0.722,11,-6.005,0.034,0.119,0,0.0861,0.559,134.058,4
"130","country","Speechless","Dan + Shay","3GJ4hzg4lrGwU51Y3VARbF",0.616,0.438,1,-5.968,0.0298,0.356,0,0.24,0.386,135.929,4
"131","country","Hangin' On","Chris Young","6CyJlVAEFlNdpggOLanytL",0.434,0.831,8,-4.774,0.0453,0.0651,0,0.119,0.596,156.034,4
"132","country","The Long Way","Brett Eldredge","5vuMtXS5kQ7F0o9V9rG1dG",0.488,0.637,10,-7.63,0.0401,0.265,0,0.106,0.23,88.865,4
"133","country","Babe","Sugarland Featuring Taylor Swift","0SoK5u8MD2VVikNPwXBz74",0.535,0.777,4,-3.292,0.207,0.0187,1.62e-06,0.136,0.664,171.72,4
"134","country","Written In The Sand","Old Dominion","2A69wys3S9uiPSmn6UZWJn",0.725,0.437,6,-9.602,0.0575,0.593,0,0.0842,0.759,83.985,4
"135","country","What Ifs","Kane Brown Featuring Lauren Alaina","7zVCrzzEJU7u24sbJPXA5W",0.612,0.799,10,-4.603,0.0275,0.00898,0,0.172,0.687,125.976,4
"136","country","Everything's Gonna Be Alright","David Lee Murphy & Kenny Chesney","2NEBP8SXEqwZt2PRdPXXuy",0.764,0.587,5,-7.002,0.0298,0.0721,6.45e-06,0.094,0.494,89.98,4
"137","country","Cry Pretty","Carrie Underwood","7qXPZxXn6Xmv1sjh03skiW",0.614,0.884,0,-4.019,0.0402,0.00122,0,0.077,0.721,100.531,4
"138","country","For The First Time","Darius Rucker","0LG2cFomCi8Fb664Lvr3Nu",0.515,0.806,6,-5.263,0.0417,0.00798,0,0.0337,0.708,142.16,4
"139","country","Greatest Love Story","LANCO","2yQZwi1P8AkkxxFhQ8rMEK",0.671,0.617,10,-8.72,0.0561,0.401,0,0.119,0.62,147.986,4
"140","country","Kiss Somebody","Morgan Evans","4f3fb3alVLFc8Ga4ncpg7x",0.57,0.684,6,-7.054,0.0465,0.136,0,0.205,0.531,89.012,4
"141","country","Best Shot","Jimmie Allen","3VamXAvVMczcS2PTYtPfBQ",0.629,0.464,4,-8.72,0.0334,0.75,0,0.0853,0.523,156.051,4
"142","country","Rich","Maren Morris","4H0vNUFcHPz5lytcLjwqkr",0.565,0.855,5,-4.189,0.0557,0.0445,0,0.32,0.852,74.98,4
"143","country","Coming Home","Keith Urban Featuring Julia Michaels","4pWb8UZ6IPVJA3CPjCNgzq",0.383,0.703,4,-6.988,0.228,0.216,5.47e-06,0.131,0.57,88.502,4
"144","country","Body Like A Back Road","Sam Hunt","7mldq42yDuxiUNn08nvzHO",0.732,0.458,5,-7.225,0.0311,0.447,0,0.136,0.661,98.938,4
"145","country","I'll Name The Dogs","Blake Shelton","609qKv3KPAbdtp0LQH2buA",0.348,0.87,4,-5.86,0.137,0.171,4.4e-06,0.202,0.763,83.392,4
"146","country","You Broke Up With Me","Walker Hayes","6UsoV6X96Rox9mfxoz7SFy",0.846,0.711,0,-7.939,0.061,0.496,0,0.247,0.883,120.013,4
"147","country","Born To Love You","LANCO","77a5Eu7lC3tG0Sukt2O91U",0.659,0.902,7,-6.192,0.0296,0.13,9.45e-05,0.0574,0.809,124.985,4
"148","country","Drunk Me","Mitchell Tenpenny","1G4cdOtF36ZCs6i2dZoC87",0.499,0.797,2,-3.77,0.0554,0.199,0,0.0933,0.408,176.024,4
"149","country","Like I Loved You","Brett Young","3T6MAweakkNrMYs8jZIWtg",0.582,0.568,1,-6.051,0.0297,0.196,0,0.0841,0.64,76.025,4
"150","country","Desperate Man","Eric Church","3d1qN7AHge6BXuVPutcpI5",0.56,0.736,0,-7.306,0.0446,0.341,9.81e-06,0.155,0.824,79.843,4
"151","country","She's With Me","High Valley","2p2cCrOaNrIOLk5ArtlHy6",0.599,0.931,11,-3.662,0.0517,0.0285,0,0.102,0.788,111.012,4
"152","country","Losing Sleep","Chris Young","6waqLPcT6ruMhmd36OhmFO",0.584,0.621,1,-5.703,0.0443,0.0715,1.68e-06,0.389,0.634,92.003,4
"153","country","Heart Break","Lady Antebellum","3YZ5TNGA10oTLaADq4zuNV",0.549,0.883,7,-5.525,0.0346,0.0423,1.31e-05,0.323,0.668,83.994,4
"154","country","Female","Keith Urban","1t34UsQ634a233qysq6D6L",0.567,0.477,8,-8.781,0.0331,0.186,4.86e-05,0.111,0.321,85.019,5
"155","country","Millionaire","Chris Stapleton","68JS5SFTnW5Yv9Vzw81Jf0",0.602,0.463,10,-9.666,0.0279,0.165,0.00968,0.0975,0.454,142.635,4
"156","country","Unforgettable","Thomas Rhett","30MM5jWpUmOxtTNd9Ey5LZ",0.661,0.75,7,-5.497,0.0314,0.0303,0.000132,0.0849,0.828,130.077,4
"157","country","Get To You","Michael Ray","3T6zcLTbdh4E3cQIpOtBps",0.481,0.562,3,-5.661,0.0321,0.348,0.000432,0.106,0.212,167.964,4
"158","country","Hide The Wine","Carly Pearce","6DY8aOcWyDYgg4ZyZKzC4B",0.567,0.913,5,-4.264,0.145,0.0621,0,0.0866,0.605,77.287,4
"159","country","Legends","Kelsea Ballerini","6vlxmQGwmlyp07YjkugV6K",0.577,0.727,4,-5.848,0.0319,0.0547,0,0.0891,0.24,112.041,4
"160","country","Round Here Buzz","Eric Church","52ioLaTnO2J7BWY8UN2n9D",0.638,0.441,2,-9.064,0.0347,0.0422,1.33e-05,0.107,0.473,76.078,4
"161","country","Light It Up","Luke Bryan","5w3NgfV8v1nNZFLUBlGHIL",0.608,0.928,6,-2.724,0.0883,0.133,0,0.103,0.738,130.012,4
